# https://explorer.acinq.co/nodes and whois results
# Lightning Nodes
IP Address|Port|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.46.250.150|9735|701|108.46.0.0/16|US|arin|2009-06-05|UUNET, US
108.66.220.133|9735|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
108.75.61.18|9735
108.80.63.17|9735|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
109.106.49.86|9735|15600|109.106.48.0/20|CH|ripencc|2010-08-05|QUICKLINE Quickline AG, CH
109.123.213.130|8735|21430|109.123.212.0/23|CZ|ripencc|2009-10-20|WIA-AS, CZ
109.131.162.5|9735|5432|109.128.0.0/14|BE|ripencc|2009-07-27|PROXIMUS-ISP-AS, BE
109.145.233.67|9735|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.154.111.8|9735|2856|109.144.0.0/12|GB|ripencc|2009-08-06|BT-UK-AS BTnet UK Regional network, GB
109.189.65.10|9735|2119|109.189.0.0/16|NO|ripencc|2009-10-09|TELENOR-NEXTEL Telenor Norge AS, NO
109.192.36.153|9735|3209|109.192.0.0/16|DE|ripencc|2009-10-06|VODANET International IP-Backbone of Vodafone, DE
109.192.75.21|9735|3209|109.192.0.0/16|DE|ripencc|2009-10-06|VODANET International IP-Backbone of Vodafone, DE
109.201.142.116|9735
109.202.192.11|9735|13030|109.202.192.0/19|CH|ripencc|2010-02-22|INIT7, CH
109.202.211.125|9735|13030|109.202.192.0/19|CH|ripencc|2010-02-22|INIT7, CH
109.204.179.106|9735|8829|109.204.128.0/17|FI|ripencc|2010-01-15|PHPOY-AS, FI
109.228.190.161|9735|8473|109.228.128.0/18|SE|ripencc|2010-02-08|BAHNHOF www.bahnhof.net, SE
